CPF,Renda mensal,Taxa de inadimplência (bureau),Gasto médio por visita
876.377.755-00,"8476,18","1,7151","164,92"
271.830.308-57,"9539,46","0,9103","144,52"
831.506.705-27,"9687,94","1,8311","178,59"
083.631.825-08,"8632,02","1,2505","186,41"
520.617.446-72,"8477,20","1,2442","112,25"
505.477.667-26,"9848,15","1,7158","153,63"
824.876.412-58,"8529,85","1,2210","164,59"
022.040.451-87,"9060,23","0,9167","184,08"
602.502.687-44,"9305,88","1,3989","183,87"
435.066.530-75,"9775,89","0,1339","194,87"
470.028.542-75,"9921,48","1,4481","114,06"
112.343.608-88,"9827,69","0,7370","109,93"
017.853.566-40,"8818,28","1,2396","140,77"
085.333.840-09,"9535,94","0,1700","152,81"
532.061.581-76,"9733,40","1,6142","136,16"
543.572.477-56,"9047,72","1,7233","178,50"
738.763.322-30,"9453,99","1,1674","182,28"
776.572.117-84,"8035,37","1,0580","164,46"
452.456.287-75,"9658,85","1,3186","160,42"
574.261.231-11,"9349,68","1,8993","164,01"
008.617.100-37,"9116,44","1,5574","173,27"
741.156.553-99,"8943,55","1,2946","181,21"
800.557.522-09,"9202,50","1,6675","151,76"
325.261.702-14,"8319,94","0,6735","142,47"
650.838.185-74,"9483,78","0,2210","136,52"
304.266.500-34,"9851,47","1,0421","180,84"
478.028.067-20,"8629,10","0,0000","101,98"
440.703.807-10,"9040,37","0,0000","179,88"
280.315.644-00,"8578,94","0,0000","160,08"
644.047.015-94,"9637,62","0,0000","137,43"
572.741.218-80,"8435,59","0,0000","180,41"
846.073.582-66,"9552,21","0,0000","149,61"
812.560.463-45,"9413,04","0,0000","148,27"
013.708.386-62,"9720,73","0,0000","101,76"
537.601.642-00,"9177,68","0,0000","144,29"
105.448.816-99,"9168,77","0,0000","108,67"
234.061.164-42,"8565,79","0,0000","127,40"
273.460.703-48,"9006,42","0,0000","118,88"
348.814.736-38,"9812,23","0,0000","180,89"
431.186.654-24,"9218,40","0,0000","188,11"
223.857.674-65,"9677,28","0,0000","102,18"
618.382.001-69,"8024,62","0,0000","110,86"
178.685.465-14,"9109,09","0,0000","177,43"
662.316.228-35,"8020,18","0,0000","155,61"
686.136.386-35,"8999,84","0,0000","147,40"
134.054.640-05,"9006,07","0,0000","182,60"
538.756.574-97,"9141,31","0,0000","192,62"
116.645.237-90,"8677,76","0,0000","189,87"
210.885.816-41,"9394,78","0,0000","110,96"
264.146.248-61,"9461,29","0,0000","166,52"
041.136.201-13,"8380,18","0,0000","133,75"
431.323.067-03,"9622,65","0,0000","165,97"
